iter	Passed	Remaining
0	136	136550
1	137	68525
2	137	45825
3	138	34491
4	139	27740
5	140	23211
6	140	19951
7	141	17501
8	141	15596
9	142	14064
10	142	12810
11	142	11768
12	143	10884
13	143	10130
14	144	9472
15	144	8905
16	145	8399
17	145	7948
18	146	7545
19	146	7186
20	147	6861
21	147	6561
22	148	6295
23	148	6047
24	149	5816
25	149	5604
26	150	5410
27	150	5227
28	151	5056
29	151	4896
30	151	4748
31	152	4616
32	153	4491
33	153	4373
34	154	4257
35	155	4150
36	155	4051
37	156	3954
38	156	3860
39	157	3772
40	157	3687
41	158	3605
42	158	3528
43	159	3454
44	159	3384
45	159	3316
46	160	3250
47	160	3189
48	161	3130
49	161	3072
50	162	3018
51	162	2964
52	163	2912
53	163	2863
54	163	2816
55	164	2770
56	164	2728
57	165	2685
58	165	2644
59	166	2607
60	167	2572
61	167	2538
62	168	2503
63	168	2468
64	169	2435
65	169	2403
66	170	2370
67	170	2339
68	171	2309
69	171	2279
70	172	2251
71	172	2223
72	173	2197
73	173	2171
74	174	2146
75	174	2121
76	175	2098
77	175	2073
78	175	2050
79	176	2027
80	176	2005
81	177	1983
82	177	1960
83	177	1939
84	178	1919
85	178	1899
86	179	1880
87	179	1862
88	180	1844
89	180	1826
90	181	1810
91	181	1794
92	182	1782
93	183	1768
94	184	1754
95	184	1739
96	185	1724
97	185	1708
98	186	1693
99	186	1678
100	187	1664
101	187	1650
102	187	1637
103	188	1623
104	188	1610
105	189	1596
106	189	1583
107	190	1570
108	190	1558
109	191	1546
110	191	1534
111	192	1522
112	192	1510
113	192	1499
114	193	1488
115	193	1477
116	194	1465
117	194	1455
118	195	1444
119	195	1434
120	196	1426
121	196	1416
122	197	1409
123	198	1399
124	198	1390
125	199	1381
126	199	1371
127	200	1362
128	200	1354
129	201	1346
130	201	1337
131	202	1328
132	202	1320
133	202	1311
134	203	1303
135	203	1295
136	204	1288
137	204	1280
138	205	1273
139	206	1265
140	206	1258
141	206	1249
142	207	1241
143	207	1234
144	208	1227
145	208	1220
146	209	1213
147	209	1206
148	210	1199
149	210	1192
150	211	1187
151	211	1181
152	212	1176
153	213	1170
154	213	1164
155	214	1158
156	214	1153
157	215	1147
158	215	1141
159	216	1135
160	216	1128
161	216	1122
162	217	1116
163	217	1111
164	218	1105
165	219	1100
166	219	1094
167	219	1089
168	220	1083
169	220	1078
170	221	1072
171	221	1067
172	222	1062
173	223	1059
174	223	1054
175	224	1049
176	224	1045
177	225	1039
178	225	1035
179	226	1031
180	227	1027
181	227	1022
182	228	1018
183	228	1014
184	229	1009
185	229	1005
186	230	1000
187	230	996
188	231	991
189	231	987
190	232	982
191	232	978
192	232	974
193	233	969
194	233	965
195	234	961
196	234	956
197	235	952
198	235	948
199	236	944
200	236	940
201	237	936
202	237	932
203	237	928
204	238	924
205	238	920
206	239	916
207	239	913
208	240	909
209	240	906
210	241	903
211	242	900
212	242	896
213	243	893
214	243	890
215	244	886
216	244	883
217	245	879
218	245	876
219	246	872
220	246	869
221	247	865
222	247	862
223	247	858
224	248	855
225	248	852
226	249	849
227	249	846
228	250	843
229	250	840
230	251	836
231	251	833
232	252	830
233	252	827
234	253	824
235	253	821
236	254	818
237	254	815
238	255	812
239	255	810
240	256	807
241	257	805
242	258	803
243	258	801
244	259	798
245	259	795
246	259	792
247	260	789
248	260	786
249	261	784
250	261	781
251	262	778
252	262	776
253	263	773
254	263	770
255	264	768
256	264	765
257	265	762
258	265	760
259	266	757
260	266	755
261	267	752
262	267	749
263	268	747
264	268	744
265	269	742
266	269	739
267	270	738
268	270	736
269	271	734
270	272	732
271	272	730
272	273	728
273	273	725
274	274	723
275	274	721
276	275	718
277	275	716
278	276	714
279	276	711
280	277	709
281	277	707
282	278	705
283	278	702
284	279	700
285	279	698
286	280	696
287	281	694
288	281	692
289	281	690
290	282	688
291	282	685
292	283	683
293	283	681
294	284	679
295	284	677
296	285	675
297	286	675
298	287	673
299	288	672
300	288	670
301	289	668
302	289	666
303	290	664
304	290	662
305	291	660
306	291	658
307	292	656
308	292	654
309	293	652
310	293	650
311	294	648
312	294	646
313	294	644
314	295	642
315	295	640
316	296	638
317	296	636
318	297	635
319	297	633
320	298	631
321	298	629
322	299	627
323	300	626
324	300	624
325	301	623
326	302	621
327	302	620
328	303	618
329	303	616
330	304	614
331	304	612
332	305	610
333	305	609
334	305	607
335	306	605
336	306	603
337	307	601
338	307	600
339	308	598
340	308	596
341	309	594
342	309	592
343	310	591
344	310	589
345	310	587
346	311	586
347	311	584
348	312	582
349	312	580
350	313	579
351	313	577
352	314	575
353	314	574
354	315	573
355	316	572
356	316	570
357	317	569
358	318	568
359	318	566
360	319	564
361	319	563
362	320	561
363	320	560
364	321	558
365	321	557
366	322	555
367	322	554
368	323	552
369	323	550
370	324	549
371	324	547
372	324	546
373	325	544
374	326	543
375	326	541
376	326	540
377	327	538
378	328	537
379	328	536
380	329	534
381	329	533
382	330	532
383	331	531
384	331	529
385	332	528
386	332	527
387	333	525
388	333	524
389	334	522
390	334	521
391	335	520
392	335	518
393	336	517
394	336	515
395	337	514
396	337	512
397	337	511
398	338	509
399	338	508
400	339	506
401	339	505
402	340	504
403	340	502
404	341	501
405	341	499
406	342	498
407	342	496
408	342	495
409	343	494
410	343	492
411	344	491
412	345	490
413	345	489
414	346	488
415	347	487
416	347	486
417	348	485
418	348	483
419	349	482
420	349	481
421	350	480
422	351	478
423	351	477
424	351	476
425	352	474
426	352	473
427	353	472
428	353	470
429	354	469
430	354	468
431	355	467
432	355	465
433	356	464
434	356	463
435	357	462
436	357	460
437	358	459
438	358	458
439	359	457
440	360	456
441	360	455
442	361	454
443	361	453
444	362	451
445	362	450
446	363	449
447	364	448
448	364	447
449	365	446
450	365	445
451	366	444
452	366	443
453	367	441
454	368	440
455	368	439
456	369	438
457	369	437
458	370	436
459	370	434
460	371	433
461	371	432
462	371	431
463	372	430
464	372	429
465	373	428
466	374	427
467	375	426
468	376	425
469	376	425
470	377	424
471	378	423
472	378	422
473	379	420
474	379	419
475	380	418
476	380	417
477	381	416
478	381	415
479	382	414
480	382	413
481	383	411
482	383	410
483	384	409
484	384	408
485	385	407
486	385	406
487	386	405
488	387	404
489	387	403
490	388	402
491	388	401
492	389	400
493	390	399
494	390	398
495	391	397
496	392	396
497	392	395
498	393	394
499	394	394
500	394	393
501	395	392
502	396	391
503	396	390
504	397	389
505	397	388
506	398	387
507	398	386
508	399	385
509	399	384
510	400	382
511	400	381
512	401	380
513	401	379
514	402	378
515	402	377
516	403	376
517	404	375
518	404	375
519	405	374
520	406	373
521	406	372
522	407	371
523	407	370
524	408	369
525	408	368
526	409	367
527	409	366
528	410	365
529	411	364
530	411	363
531	412	362
532	412	361
533	413	360
534	413	359
535	414	358
536	414	357
537	415	356
538	416	355
539	416	354
540	417	353
541	417	352
542	418	351
543	418	351
544	419	350
545	420	349
546	421	348
547	421	347
548	422	346
549	422	345
550	423	344
551	423	343
552	424	342
553	424	341
554	425	340
555	425	340
556	426	339
557	426	338
558	427	337
559	427	336
560	428	335
561	428	334
562	429	333
563	429	332
564	430	331
565	430	330
566	431	329
567	432	328
568	432	327
569	433	327
570	434	326
571	435	325
572	435	324
573	436	323
574	436	322
575	437	322
576	438	321
577	438	320
578	439	319
579	439	318
580	440	317
581	440	316
582	441	315
583	441	314
584	442	313
585	443	312
586	443	312
587	443	311
588	444	310
589	444	309
590	445	308
591	446	307
592	446	306
593	447	305
594	447	304
595	448	303
596	449	303
597	449	302
598	450	301
599	450	300
600	451	299
601	452	298
602	452	297
603	453	297
604	453	296
605	454	295
606	454	294
607	455	293
608	455	292
609	456	291
610	456	290
611	457	290
612	458	289
613	458	288
614	459	287
615	459	286
616	460	285
617	460	284
618	461	283
619	461	282
620	462	282
621	462	281
622	463	280
623	464	279
624	464	278
625	465	277
626	465	277
627	466	276
628	467	275
629	467	274
630	468	273
631	468	273
632	469	272
633	470	271
634	470	270
635	470	269
636	471	268
637	471	267
638	472	266
639	472	265
640	473	265
641	473	264
642	474	263
643	474	262
644	475	261
645	475	260
646	476	259
647	476	259
648	477	258
649	478	257
650	478	256
651	479	255
652	479	254
653	480	254
654	480	253
655	481	252
656	482	251
657	482	250
658	483	250
659	483	249
660	484	248
661	485	247
662	485	246
663	486	246
664	486	245
665	487	244
666	487	243
667	488	242
668	488	241
669	489	241
670	490	240
671	490	239
672	491	238
673	491	237
674	492	237
675	493	236
676	493	235
677	494	234
678	494	233
679	495	233
680	495	232
681	496	231
682	496	230
683	497	229
684	497	228
685	498	228
686	498	227
687	499	226
688	499	225
689	500	224
690	500	223
691	501	223
692	502	222
693	502	221
694	503	220
695	503	219
696	504	219
697	504	218
698	505	217
699	505	216
700	506	215
701	506	215
702	507	214
703	508	213
704	509	213
705	509	212
706	510	211
707	511	210
708	511	209
709	512	209
710	513	208
711	513	207
712	514	206
713	514	206
714	515	205
715	515	204
716	516	203
717	516	202
718	517	202
719	517	201
720	518	200
721	518	199
722	519	198
